guess_brand,BRAND_CONFIRM,Title,Type,Status,Handle
Barakat,,Barakat Juice Pop Mango Passion 50ml,Ice Cream,active,barakat-juice-pop-mango-passion-50ml
Barakat,,Barakat Juice Pop Orange 50ml,Ice Cream,active,barakat-juice-pop-orange-50ml
Barakat,,Barakat Juice Pop Strawberry Banana 50ml,Ice Cream,active,barakat-juice-pop-strawberry-banana-50ml
Barbican,,Barbican Apple Flavour 250ml,Carbonated Soft Drinks,active,barbican-apple-flavour-250ml
Barbican,,Barbican Apple Flavour 330ml,Carbonated Soft Drinks,active,barbican-apple-flavour-330ml
Barbican,,Barbican Classic Malt 250ml,Carbonated Soft Drinks,active,barbican-classic-malt-250ml
Barbican,,Barbican English Flavour 330ml,Carbonated Soft Drinks,active,barbican-english-flavour-330ml
Barbican,,Barbican Peach Flavour 330ml,Carbonated Soft Drinks,active,barbican-peach-flavour-330ml
Barbican,,Barbican Pineapple Flavour 330ml,Carbonated Soft Drinks,active,barbican-pineapple-flavour-330ml
Barbican,,Barbican Pomegranate Flavour 250ml,Carbonated Soft Drinks,active,barbican-pomegranate-flavour-250ml
Barbican,,Barbican Pomegranate Flavour 330ml,Carbonated Soft Drinks,active,barbican-pomegranate-flavour-330ml
Barbican,,Barbican Strawberry Flavour 250ml,Carbonated Soft Drinks,active,barbican-strawberry-flavour-250ml
Barbican,,Barbican Strawberry Flavour 330ml,Carbonated Soft Drinks,active,barbican-strawberry-flavour-330ml
Baskin,,Baskin Robbins Almond ’n Caramel Ice Cream Bar 90ml,Ice Cream,active,baskin-robbins-almond-n-caramel-ice-cream-bar-90ml
Batatos,,Batatos Classic 15g,Chips & Crisps,active,batatos-classic-15g
Batatos,,Batatos Classic Salted 167g,Chips & Crisps,active,batatos-classic-salted-167g
Batatos,,Batatos Salt 167g,Chips & Crisps,active,batatos-salt-167g
Batatos,,Batatos Smokey BBQ 15 g,Chips & Crisps,active,batatos-smokey-bbq-15-g
Batatos,,Batatos Smokey BBQ 15g,Chips & Crisps,active,batatos-smokey-bbq-15g
Batatos,,Batatos Smoky BBQ 167g,Chips & Crisps,active,batatos-smoky-bbq-167g
